Nicaragua,1.286.541.504,-8.520.722.726,5/1/2020,4,14,3
Afghanistan,3.375.957.309,6.719.187.928,3/8/2020,,4,0
Côte-d'Ivoire,7.54,-55.471,5/5/2020,745,1464,18
Vatican City,419.029,12.4534,4/1/2020,6,6,0
Armenia,400.691,450.382,4/12/2020,803,1013,13
Israel,3.103.793.084,3.487.779.653,3/20/2020,,705,0
Papua New Guinea,-6.314.993.286,143.955.548,4/24/2020,8,8,0
New Zealand,-409.006,174.886,4/25/2020,310,1470,18
Lithuania,551.694,238.813,3/29/2020,452,460,7
Burma,219.162,95.956,3/31/2020,14,15,1
Rwanda,-19.403,298.739,3/19/2020,,8,0
Central African Republic,6.6111,209.394,3/18/2020,,1,0
Sweden,6.063.496.128,1.817.700.069,3/16/2020,,1103,6
Belgium,5.078.970.294,4.387.001.353,2/8/2020,,1,0
Iran,3.235.239.377,5.356.662.003,4/1/2020,29084,47593,3036
Peru,-9.19,-750.152,3/22/2020,357,363,5
Venezuela,6.4238,-665.897,4/18/2020,105,227,9
Afghanistan,3.375.957.309,6.719.187.928,4/14/2020,651,714,23
Monaco,437.339,7.417.629.412,3/24/2020,22,23,0
Vatican City,419.029,12.4534,4/22/2020,7,9,0
Kazakhstan,480.196,669.237,4/28/2020,2228,3027,25
Ghana,7.9465,-10.232,4/22/2020,1046,1154,9
US,3.805.993.402,-908.433.986,5/2/2020,917894,1132539,66369
Gabon,-8.037,11.6094,5/2/2020,245,335,5
Nicaragua,1.286.541.504,-8.520.722.726,3/23/2020,2,2,0
Tunisia,3.389.387.229,9.504.422.354,3/22/2020,71,75,3
Togo,8.6195,8.248,4/14/2020,42,77,3
Russia,6.125.506.574,1.026.154.519,3/14/2020,,59,0
Malta,359.375,143.754,3/23/2020,105,107,0
Chile,-356.751,-71.543,5/1/2020,7756,17008,234
Taiwan,23.7,121,3/27/2020,236,267,2
Argentina,-384.161,-636.167,3/17/2020,,68,2
Germany,511.364.526,1.019.537.091,4/20/2020,50703,147065,4862
Hungary,471.625,195.033,4/6/2020,639,744,38
New Zealand,-409.006,174.886,3/29/2020,457,514,1
Pakistan,303.753,693.451,4/15/2020,4826,6383,111
Korea,South,3.591.094.447,1.277.749.558,4/17/2020,2576,10635
Lithuania,551.694,238.813,4/25/2020,925,1426,41
Slovakia,48.669,19.699,5/5/2020,655,1421,25
Canada,5.012.857.329,-8.882.930.329,2/8/2020,,7,0
Western Sahara,242.155,-128.858,4/28/2020,1,6,0
Guinea-Bissau,11.8037,-151.804,5/2/2020,237,257,1
Papua New Guinea,-6.314.993.286,143.955.548,3/30/2020,1,1,0
Norway,60.472,8.4689,3/21/2020,,2118,7
Palestinian Territories,319.522,352.332,3/28/2020,79,98,1
Philippines,1.289.563.657,1.218.039.235,4/23/2020,5797,6981,462
Belgium,5.078.970.294,4.387.001.353,3/6/2020,,109,0
Grenada,12.1165,-61.679,4/26/2020,11,18,0
Sweden,6.063.496.128,1.817.700.069,2/6/2020,,1,0
Laos,1.985.627,102.495.496,3/28/2020,8,8,0
Saint Vincent and the Grenadines,12.9843,-612.872,4/20/2020,11,12,0
North Macedonia,416.086,217.453,3/18/2020,,35,0
Estonia,585.953,250.136,4/13/2020,1202,1332,28
Somalia,5.152.143.453,4.619.961.419,4/25/2020,364,390,18
Saint Lucia,139.094,-609.789,5/1/2020,2,17,0
Morocco,317.917,-70.926,3/2/2020,,1,0
Ukraine,483.794,311.656,4/14/2020,3155,3372,98
